asset_type,name,project,location,display_name,labels
rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/rbac.authorization.k8s.io/clusterroles/pdcsi-attacher-role,projects/192823657524,europe-north2,pdcsi-attacher-role,addonmanager.kubernetes.io/mode=Reconcile;k8s-app=gcp-compute-persistent-disk-csi-driver
k8s.io/ServiceAccount,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/namespaces/kube-system/serviceaccounts/pdcsi-node-sa,projects/192823657524,europe-north2,pdcsi-node-sa,addonmanager.kubernetes.io/mode=Reconcile;k8s-app=gcp-compute-persistent-disk-csi-driver
apps.k8s.io/DaemonSet,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/namespaces/kube-system/apps/daemonsets/parallelstore-csi-node,projects/192823657524,europe-north2,parallelstore-csi-node,addonmanager.kubernetes.io/mode=Reconcile;k8s-app=parallelstore-csi-driver
rbac.authorization.k8s.io/RoleBinding,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/namespaces/gke-managed-parallelstorecsi/rbac.authorization.k8s.io/rolebindings/parallelstore-csi-node-binding,projects/192823657524,europe-north2,parallelstore-csi-node-binding,addonmanager.kubernetes.io/mode=Reconcile;k8s-app=parallelstore-csi-driver
rbac.authorization.k8s.io/RoleBinding,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/namespaces/gke-managed-parallelstorecsi/rbac.authorization.k8s.io/rolebindings/parallelstore-csi-controller-binding,projects/192823657524,europe-north2,parallelstore-csi-controller-binding,addonmanager.kubernetes.io/mode=Reconcile;k8s-app=parallelstore-csi-driver
rbac.authorization.k8s.io/Role,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/namespaces/gke-managed-parallelstorecsi/rbac.authorization.k8s.io/roles/parallelstore-csi-mounter-node-role,projects/192823657524,europe-north2,parallelstore-csi-mounter-node-role,addonmanager.kubernetes.io/mode=Reconcile;k8s-app=parallelstore-csi-driver
k8s.io/Namespace,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/namespaces/gke-managed-parallelstorecsi,projects/192823657524,europe-north2,gke-managed-parallelstorecsi,addonmanager.kubernetes.io/mode=EnsureExists;k8s-app=parallelstore-csi-driver;kubernetes.io/metadata.name=gke-managed-parallelstorecsi
policy.k8s.io/PodDisruptionBudget,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/namespaces/gke-managed-parallelstorecsi/policy/poddisruptionbudgets/parallelstorecsi-mount,projects/192823657524,europe-north2,parallelstorecsi-mount,addonmanager.kubernetes.io/mode=Reconcile;k8s-app=parallelstore-csi-driver
k8s.io/ServiceAccount,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/namespaces/gke-managed-parallelstorecsi/serviceaccounts/default,projects/192823657524,europe-north2,default,
rbac.authorization.k8s.io/Role,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/namespaces/gke-managed-parallelstorecsi/rbac.authorization.k8s.io/roles/parallelstore-csi-mounter-controller-role,projects/192823657524,europe-north2,parallelstore-csi-mounter-controller-role,addonmanager.kubernetes.io/mode=Reconcile;k8s-app=parallelstore-csi-driver
